id,date,gender,age,steps,calories,distance
621e2e8e67b776a24055b564,2021-07-25,MALE,<30,2472.0,2023.77,1819.0
621e2e8e67b776a24055b564,2021-07-26,MALE,<30,12090.0,2493.46,8924.7
621e2ed667b776a24085d8d1,2021-05-24,FEMALE,<30,686.0,1398.73,454.2
621e2ed667b776a24085d8d1,2021-05-25,FEMALE,<30,2308.0,1581.26,1528.5
621e2ed667b776a24085d8d1,2021-05-26,FEMALE,<30,2959.0,1606.15,1953.5
621e2ed667b776a24085d8d1,2021-05-27,FEMALE,<30,1895.0,1491.2,1256.3
621e2ed667b776a24085d8d1,2021-05-28,FEMALE,<30,9079.0,1884.65,6038.7
621e2ed667b776a24085d8d1,2021-05-29,FEMALE,<30,504.0,1395.33,332.7
621e2ed667b776a24085d8d1,2021-05-30,FEMALE,<30,304.0,1344.35,201.1
621e2ed667b776a24085d8d1,2021-05-31,FEMALE,<30,1946.0,1506.82,1251.0
621e2ed667b776a24085d8d1,2021-06-01,FEMALE,<30,2991.0,1602.14,1981.9
621e2ed667b776a24085d8d1,2021-06-02,FEMALE,<30,2920.0,1626.36,1933.5
621e2ed667b776a24085d8d1,2021-06-03,FEMALE,<30,2963.0,1620.28,1926.0
621e2ed667b776a24085d8d1,2021-06-04,FEMALE,<30,6157.0,1701.49,4087.3
621e2ed667b776a24085d8d1,2021-06-05,FEMALE,<30,10250.0,1967.58,6766.3
621e2ed667b776a24085d8d1,2021-06-06,FEMALE,<30,995.0,1525.45,637.0
621e2ed667b776a24085d8d1,2021-06-07,FEMALE,<30,3255.0,1607.0,2158.5
621e2ed667b776a24085d8d1,2021-06-08,FEMALE,<30,5143.0,1671.04,3403.7
621e2ed667b776a24085d8d1,2021-06-09,FEMALE,<30,2276.0,1595.12,1506.5
621e2ed667b776a24085d8d1,2021-06-10,FEMALE,<30,6347.0,1772.51,4197.7
621e2ed667b776a24085d8d1,2021-06-11,FEMALE,<30,2068.0,1528.15,1369.5
621e2ed667b776a24085d8d1,2021-06-12,FEMALE,<30,4141.0,1641.59,2747.0
621e2ed667b776a24085d8d1,2021-06-13,FEMALE,<30,4814.0,1642.2,3194.3
621e2ed667b776a24085d8d1,2021-06-14,FEMALE,<30,5343.0,1745.3,3509.5
621e2ed667b776a24085d8d1,2021-06-15,FEMALE,<30,3206.0,1645.95,2123.8
621e2ed667b776a24085d8d1,2021-06-16,FEMALE,<30,7598.0,1856.03,4999.4
621e2ed667b776a24085d8d1,2021-06-17,FEMALE,<30,3704.0,1702.67,2410.0
621e2ed667b776a24085d8d1,2021-06-18,FEMALE,<30,3007.0,1663.21,1992.1
621e2ed667b776a24085d8d1,2021-06-19,FEMALE,<30,10026.0,2066.11,6636.3
621e2ed667b776a24085d8d1,2021-06-20,FEMALE,<30,10053.0,1946.03,6652.9
621e2ed667b776a24085d8d1,2021-06-21,FEMALE,<30,10411.0,2003.92,6939.6
621e2ed667b776a24085d8d1,2021-06-22,FEMALE,<30,5920.0,1746.68,3967.4
621e2ed667b776a24085d8d1,2021-06-23,FEMALE,<30,4592.0,1734.6,2940.9
621e2ed667b776a24085d8d1,2021-06-24,FEMALE,<30,5580.0,1774.68,3699.8
621e2ed667b776a24085d8d1,2021-06-25,FEMALE,<30,8922.0,1954.0,5929.0
621e2ed667b776a24085d8d1,2021-06-26,FEMALE,<30,7299.0,1756.47,4846.3
621e2ed667b776a24085d8d1,2021-06-27,FEMALE,<30,8745.0,1825.96,5806.1
621e2ed667b776a24085d8d1,2021-06-28,FEMALE,<30,5146.0,1741.04,3376.8
621e2ed667b776a24085d8d1,2021-06-29,FEMALE,<30,2997.0,1608.64,1985.4
621e2ed667b776a24085d8d1,2021-06-30,FEMALE,<30,8442.0,1977.97,5584.7
621e2ed667b776a24085d8d1,2021-07-01,FEMALE,<30,7839.0,1952.16,5128.5
621e2ed667b776a24085d8d1,2021-07-02,FEMALE,<30,6801.0,1822.23,4543.4
621e2ed667b776a24085d8d1,2021-07-03,FEMALE,<30,9683.0,2030.66,6382.3
621e2ed667b776a24085d8d1,2021-07-04,FEMALE,<30,5623.0,1796.54,3772.6
621e2ed667b776a24085d8d1,2021-07-05,FEMALE,<30,5431.0,1764.1,3580.2
621e2ed667b776a24085d8d1,2021-07-06,FEMALE,<30,2959.0,1506.45,1894.1
621e2ed667b776a24085d8d1,2021-07-07,FEMALE,<30,8541.0,2172.31,5644.2
621e2ed667b776a24085d8d1,2021-07-08,FEMALE,<30,5944.0,1826.48,3939.5
621e2ed667b776a24085d8d1,2021-07-09,FEMALE,<30,2881.0,1622.31,1908.7
621e2ed667b776a24085d8d1,2021-07-10,FEMALE,<30,819.0,1375.06,542.3
621e2ed667b776a24085d8d1,2021-07-11,FEMALE,<30,4532.0,1666.41,3016.1
621e2ed667b776a24085d8d1,2021-07-12,FEMALE,<30,10129.0,1930.11,6688.9
621e2ed667b776a24085d8d1,2021-07-13,FEMALE,<30,4097.0,1697.69,2716.0
621e2ed667b776a24085d8d1,2021-07-14,FEMALE,<30,4738.0,1863.0,3141.5
621e2ed667b776a24085d8d1,2021-07-15,FEMALE,<30,6980.0,2057.05,4656.8
621e2ed667b776a24085d8d1,2021-07-16,FEMALE,<30,4726.0,1600.02,3092.6
621e2ed667b776a24085d8d1,2021-07-17,FEMALE,<30,1310.0,1459.85,824.4
621e2ed667b776a24085d8d1,2021-07-18,FEMALE,<30,3609.0,1620.06,2282.1
621e2ed667b776a24085d8d1,2021-07-19,FEMALE,<30,5740.0,1982.37,3867.2
621e2ed667b776a24085d8d1,2021-07-20,FEMALE,<30,3285.0,1599.19,2178.0
621e2ed667b776a24085d8d1,2021-07-21,FEMALE,<30,5443.0,1727.37,3557.8
621e2ed667b776a24085d8d1,2021-07-22,FEMALE,<30,4592.0,1677.4,3045.4
621e2ed667b776a24085d8d1,2021-07-23,FEMALE,<30,6134.0,1635.31,4028.0
621e2ed667b776a24085d8d1,2021-07-24,FEMALE,<30,5612.0,1733.53,3637.5
621e2ed667b776a24085d8d1,2021-07-25,FEMALE,<30,6261.0,1696.44,4122.1
621e2ed667b776a24085d8d1,2021-07-26,FEMALE,<30,4101.0,1673.62,2312.1
621e2efa67b776a2409dd1c3,2021-05-24,FEMALE,<30,3400.0,1922.67,2369.8
621e2efa67b776a2409dd1c3,2021-05-25,FEMALE,<30,1342.0,1870.27,926.5
621e2efa67b776a2409dd1c3,2021-05-26,FEMALE,<30,2307.0,1838.04,1615.5
621e2efa67b776a2409dd1c3,2021-05-27,FEMALE,<30,5159.0,2266.29,3577.0
621e2efa67b776a2409dd1c3,2021-05-28,FEMALE,<30,4955.0,2045.55,3318.9
621e2efa67b776a2409dd1c3,2021-05-29,FEMALE,<30,16614.0,2734.64,11621.2
621e2efa67b776a2409dd1c3,2021-05-30,FEMALE,<30,5098.0,1792.64,3591.8
621e2efa67b776a2409dd1c3,2021-05-31,FEMALE,<30,3430.0,1895.63,2262.8
621e2efa67b776a2409dd1c3,2021-06-01,FEMALE,<30,9948.0,2331.98,6973.2
621e2efa67b776a2409dd1c3,2021-06-02,FEMALE,<30,8652.0,2044.56,6061.7
621e2efa67b776a2409dd1c3,2021-06-03,FEMALE,<30,12950.0,2356.46,8733.1
621e2efa67b776a2409dd1c3,2021-06-04,FEMALE,<30,3200.0,1686.01,2242.3
621e2efa67b776a2409dd1c3,2021-06-05,FEMALE,<30,3942.0,1804.96,2726.0
621e2efa67b776a2409dd1c3,2021-06-06,FEMALE,<30,5459.0,2132.79,3823.6
621e2efa67b776a2409dd1c3,2021-06-07,FEMALE,<30,17.0,1385.1799999999998,11.9
621e2efa67b776a2409dd1c3,2021-06-08,FEMALE,<30,4705.0,1975.89,3296.1
621e2efa67b776a2409dd1c3,2021-06-09,FEMALE,<30,7442.0,2214.93,5228.2
621e2efa67b776a2409dd1c3,2021-06-10,FEMALE,<30,7849.0,2077.45,5276.2
621e2efa67b776a2409dd1c3,2021-06-11,FEMALE,<30,4550.0,2000.25,3168.0
621e2efa67b776a2409dd1c3,2021-06-12,FEMALE,<30,8619.0,2279.39,5965.7
621e2efa67b776a2409dd1c3,2021-06-13,FEMALE,<30,5782.0,1883.32,3668.0
621e2efa67b776a2409dd1c3,2021-06-14,FEMALE,<30,7434.0,2235.23,5232.0
621e2efa67b776a2409dd1c3,2021-06-15,FEMALE,<30,19079.0,2619.07,13370.9
621e2efa67b776a2409dd1c3,2021-06-16,FEMALE,<30,2460.0,1723.65,1723.2
621e2efa67b776a2409dd1c3,2021-06-17,FEMALE,<30,2633.0,1834.5,1844.2
621e2efa67b776a2409dd1c3,2021-06-18,FEMALE,<30,8836.0,2871.15,6038.3
621e2efa67b776a2409dd1c3,2021-06-19,FEMALE,<30,4284.0,2048.17,3001.1
621e2efa67b776a2409dd1c3,2021-06-20,FEMALE,<30,9432.0,2123.92,6612.6
621e2efa67b776a2409dd1c3,2021-06-21,FEMALE,<30,789.0,1518.53,552.4
621e2efa67b776a2409dd1c3,2021-06-22,FEMALE,<30,2045.0,1819.59,1233.5
621e2efa67b776a2409dd1c3,2021-06-23,FEMALE,<30,16585.0,2941.23,11438.6
621e2efa67b776a2409dd1c3,2021-06-24,FEMALE,<30,9465.0,2190.97,6550.2
621e2efa67b776a2409dd1c3,2021-06-25,FEMALE,<30,11869.0,2395.95,8317.6
