id,date,gender,age,steps,calories,distance
621e2eaf67b776a2406b14ac,2021-11-15,FEMALE,>=30,32655.0,2891.49,22633.9
621e2eaf67b776a2406b14ac,2021-11-16,FEMALE,>=30,17329.0,2281.17,12034.7
621e2eaf67b776a2406b14ac,2021-11-17,FEMALE,>=30,24422.0,2555.94,16917.4
621e2eaf67b776a2406b14ac,2021-11-18,FEMALE,>=30,29500.0,2593.61,20525.1
621e2eaf67b776a2406b14ac,2021-11-19,FEMALE,>=30,18294.0,2237.35,12705.0
621e2eaf67b776a2406b14ac,2021-11-20,FEMALE,>=30,43112.0,3182.31,29850.7
621e2eaf67b776a2406b14ac,2021-11-21,FEMALE,>=30,25177.0,2527.94,17464.4
621e2eaf67b776a2406b14ac,2021-11-22,FEMALE,>=30,14766.0,2118.65,10244.2
621e2eaf67b776a2406b14ac,2021-11-23,FEMALE,>=30,6930.0,1687.97,4695.5
621e2eaf67b776a2406b14ac,2021-11-24,FEMALE,>=30,16718.0,2166.83,11504.4
621e2eaf67b776a2406b14ac,2021-11-25,FEMALE,>=30,13310.0,2011.81,9253.8
621e2eaf67b776a2406b14ac,2021-11-26,FEMALE,>=30,25743.0,2555.99,18233.4
621e2eaf67b776a2406b14ac,2021-11-27,FEMALE,>=30,18229.0,2228.33,12777.7
621e2eaf67b776a2406b14ac,2021-11-28,FEMALE,>=30,18972.0,2209.59,13147.7
621e2eaf67b776a2406b14ac,2021-11-29,FEMALE,>=30,12038.0,1921.91,8322.0
621e2eaf67b776a2406b14ac,2021-11-30,FEMALE,>=30,14092.0,2034.46,9800.6
621e2eaf67b776a2406b14ac,2021-12-01,FEMALE,>=30,14390.0,2158.36,9962.2
621e2eaf67b776a2406b14ac,2021-12-02,FEMALE,>=30,15767.0,2218.71,10878.3
621e2eaf67b776a2406b14ac,2021-12-03,FEMALE,>=30,9935.0,1979.64,6809.0
621e2eaf67b776a2406b14ac,2021-12-04,FEMALE,>=30,17922.0,2415.75,12410.3
621e2eaf67b776a2406b14ac,2021-12-05,FEMALE,>=30,18324.0,2326.64,12692.2
621e2eaf67b776a2406b14ac,2021-12-06,FEMALE,>=30,7373.0,1833.76,5099.9
621e2eaf67b776a2406b14ac,2021-12-07,FEMALE,>=30,13100.0,2124.11,9087.2
621e2eaf67b776a2406b14ac,2021-12-08,FEMALE,>=30,15013.0,2192.52,10394.0
621e2eaf67b776a2406b14ac,2021-12-09,FEMALE,>=30,14607.0,2129.84,10139.5
621e2eaf67b776a2406b14ac,2021-12-10,FEMALE,>=30,18363.0,2265.21,12764.4
621e2eaf67b776a2406b14ac,2021-12-11,FEMALE,>=30,14346.0,2177.17,9972.5
621e2eaf67b776a2406b14ac,2021-12-12,FEMALE,>=30,20046.0,2347.5,13966.3
621e2eaf67b776a2406b14ac,2021-12-13,FEMALE,>=30,12424.0,2003.78,8603.7
621e2eaf67b776a2406b14ac,2021-12-14,FEMALE,>=30,11669.0,1968.01,8048.2
621e2eaf67b776a2406b14ac,2021-12-15,FEMALE,>=30,12767.0,2053.14,8838.6
621e2eaf67b776a2406b14ac,2021-12-16,FEMALE,>=30,17620.0,2269.55,12201.5
621e2eaf67b776a2406b14ac,2021-12-17,FEMALE,>=30,15381.0,2182.99,10653.4
621e2eaf67b776a2406b14ac,2021-12-18,FEMALE,>=30,11085.0,1886.96,7677.8
621e2eaf67b776a2406b14ac,2021-12-19,FEMALE,>=30,10271.0,1997.71,7100.5
621e2eaf67b776a2406b14ac,2021-12-20,FEMALE,>=30,10389.0,1992.99,7191.3
621e2eaf67b776a2406b14ac,2021-12-21,FEMALE,>=30,17503.0,2334.8,12114.0
