mechanism,eps,n_users,accuracy
laplace,4.0,11,0.19730113636363636
laplace,4.0,12,0.18385416666666668
laplace,4.0,13,0.17450721153846155
laplace,4.0,14,0.158984375
laplace,4.0,15,0.15228125
laplace,4.0,16,0.142548828125
laplace,4.0,17,0.13814338235294119
laplace,4.0,18,0.1316232638888889
laplace,4.0,19,0.12235197368421052
laplace,4.0,20,0.1187421875
laplace,4.0,21,0.11348958333333334
laplace,4.0,22,0.11120738636363636
laplace,4.0,23,0.10506114130434782
laplace,4.0,24,0.10194661458333333
laplace,4.0,25,0.09824375
laplace,4.0,26,0.09370192307692307
laplace,4.0,27,0.09155092592592592
laplace,4.0,28,0.08833705357142857
laplace,4.0,29,0.08536637931034483
laplace,4.0,30,0.08316666666666667
laplace,4.0,31,0.08050403225806452
laplace,4.0,32,0.0790478515625
laplace,4.0,33,0.07571969696969696
laplace,4.0,34,0.07364889705882353
laplace,4.0,35,0.07145982142857144
laplace,4.0,36,0.06916232638888889
laplace,4.0,37,0.06831081081081081
laplace,4.0,38,0.0661389802631579
laplace,4.0,39,0.06506009615384616
laplace,4.0,40,0.06360546875
laplace,4.0,41,0.06163109756097561
laplace,4.0,42,0.06088169642857143
laplace,4.0,43,0.059156976744186046
laplace,4.0,44,0.057979403409090906
laplace,4.0,45,0.05640277777777778
laplace,4.0,46,0.05581521739130435
laplace,4.0,47,0.053936170212765956
laplace,4.0,48,0.05267252604166667
laplace,4.0,49,0.05186543367346939
laplace,4.0,50,0.050896875
laplace,4.0,51,0.05013174019607843
laplace,4.0,52,0.04900240384615385
laplace,4.0,53,0.04826945754716981
laplace,4.0,54,0.04722511574074074
laplace,4.0,55,0.046676136363636364
laplace,4.0,56,0.04612723214285714
laplace,4.0,57,0.044761513157894735
laplace,4.0,58,0.044242995689655173
laplace,4.0,59,0.04394332627118644
laplace,4.0,60,0.04334635416666666
laplace,4.0,61,0.042697233606557375
laplace,4.0,62,0.042570564516129034
laplace,4.0,63,0.041294642857142856
laplace,4.0,64,0.0404248046875
laplace,4.0,65,0.04030769230769231
laplace,4.0,66,0.039301609848484846
laplace,4.0,67,0.03895055970149254
laplace,4.0,68,0.03778262867647059
laplace,4.0,69,0.03791213768115942
laplace,4.0,70,0.03754464285714286
laplace,4.0,71,0.03683758802816901
laplace,8.0,1,1.0
laplace,8.0,2,0.7828125
laplace,8.0,3,0.658125
laplace,8.0,4,0.5625
laplace,8.0,5,0.4995625
laplace,8.0,6,0.4482291666666667
laplace,8.0,7,0.40877232142857145
laplace,8.0,8,0.37841796875
laplace,8.0,9,0.34727430555555555
laplace,8.0,10,0.326015625
laplace,8.0,11,0.3055255681818182
laplace,8.0,12,0.284609375
laplace,8.0,13,0.2720673076923077
laplace,8.0,14,0.2565848214285714
laplace,8.0,15,0.23997916666666666
laplace,8.0,16,0.229833984375
laplace,8.0,17,0.2144485294117647
laplace,8.0,18,0.2076215277777778
laplace,8.0,19,0.2013733552631579
laplace,8.0,20,0.193984375
laplace,8.0,21,0.18572916666666667
laplace,8.0,22,0.17786931818181817
laplace,8.0,23,0.17268342391304348
laplace,8.0,24,0.16579427083333334
laplace,8.0,25,0.1606875
laplace,8.0,26,0.15588341346153847
laplace,8.0,27,0.15000578703703704
laplace,8.0,28,0.1453013392857143
laplace,8.0,29,0.1418803879310345
laplace,8.0,30,0.1364375
laplace,8.0,31,0.13296875
laplace,8.0,32,0.130693359375
laplace,8.0,33,0.12705965909090908
laplace,8.0,34,0.12250459558823529
laplace,8.0,35,0.11980357142857143
laplace,8.0,36,0.11728298611111111
laplace,8.0,37,0.11403293918918919
laplace,8.0,38,0.11257401315789474
laplace,8.0,39,0.10925480769230769
laplace,8.0,40,0.1067734375
laplace,8.0,41,0.10430640243902439
laplace,8.0,42,0.10313988095238096
laplace,8.0,43,0.10047601744186047
laplace,8.0,44,0.09859019886363636
laplace,8.0,45,0.09549652777777778
laplace,8.0,46,0.09387567934782609
laplace,8.0,47,0.09243683510638298
laplace,8.0,48,0.08994466145833334
laplace,8.0,49,0.08934630102040816
laplace,8.0,50,0.0875875
laplace,8.0,51,0.0853982843137255
laplace,8.0,52,0.08448317307692307
laplace,8.0,53,0.08226120283018867
laplace,8.0,54,0.08168981481481481
laplace,8.0,55,0.07884943181818181
laplace,8.0,56,0.0794921875
laplace,8.0,57,0.07786458333333333
laplace,8.0,58,0.07611530172413793
laplace,8.0,59,0.07490995762711865
laplace,8.0,60,0.07352604166666667
laplace,8.0,61,0.07244108606557377
laplace,8.0,62,0.07146421370967741
laplace,8.0,63,0.07044642857142858
laplace,8.0,64,0.06960693359375
laplace,8.0,65,0.06790625
laplace,8.0,66,0.06796164772727273
laplace,8.0,67,0.06718516791044776
laplace,8.0,68,0.06633731617647058
laplace,8.0,69,0.06549139492753624
laplace,8.0,70,0.06437946428571428
laplace,8.0,71,0.06298855633802816
laplace,16.0,1,1.0
laplace,16.0,2,0.883671875
laplace,16.0,3,0.7731770833333333
laplace,16.0,4,0.71015625
laplace,16.0,5,0.6555
laplace,16.0,6,0.6019270833333333
laplace,16.0,7,0.563125
laplace,16.0,8,0.53376953125
laplace,16.0,9,0.4992361111111111
laplace,16.0,10,0.469140625
laplace,16.0,11,0.4444886363636364
laplace,16.0,12,0.42296875
laplace,16.0,13,0.40471153846153846
laplace,16.0,14,0.38594866071428574
laplace,16.0,15,0.365875
laplace,16.0,16,0.349306640625
laplace,16.0,17,0.3395404411764706
laplace,16.0,18,0.3270399305555556
laplace,16.0,19,0.3148026315789474
laplace,16.0,20,0.3036640625
laplace,16.0,21,0.2936011904761905
laplace,16.0,22,0.28456676136363634
laplace,16.0,23,0.2729415760869565
laplace,16.0,24,0.267109375
laplace,16.0,25,0.25954375
laplace,16.0,26,0.2528245192307692
laplace,16.0,27,0.24375578703703704
laplace,16.0,28,0.23926339285714285
laplace,16.0,29,0.235
laplace,16.0,30,0.22675
laplace,16.0,31,0.21871975806451613
laplace,16.0,32,0.2154638671875
laplace,16.0,33,0.20976799242424243
laplace,16.0,34,0.2050965073529412
laplace,16.0,35,0.19948214285714286
laplace,16.0,36,0.19489583333333332
laplace,16.0,37,0.19277871621621623
laplace,16.0,38,0.18730263157894736
laplace,16.0,39,0.18446714743589743
laplace,16.0,40,0.179109375
laplace,16.0,41,0.17652820121951218
laplace,16.0,42,0.17267857142857143
laplace,16.0,43,0.1696002906976744
laplace,16.0,44,0.16658380681818183
laplace,16.0,45,0.16230902777777778
laplace,16.0,46,0.1601256793478261
laplace,16.0,47,0.15675199468085108
laplace,16.0,48,0.15368489583333333
laplace,16.0,49,0.15232780612244898
laplace,16.0,50,0.1490375
laplace,16.0,51,0.1471047794117647
laplace,16.0,52,0.14287259615384615
laplace,16.0,53,0.1422317216981132
laplace,16.0,54,0.13985243055555555
laplace,16.0,55,0.13788920454545456
laplace,16.0,56,0.13560546875
laplace,16.0,57,0.1330674342105263
laplace,16.0,58,0.13110183189655172
laplace,16.0,59,0.12956302966101696
laplace,16.0,60,0.12736979166666668
laplace,16.0,61,0.12579661885245902
laplace,16.0,62,0.12349546370967741
laplace,16.0,63,0.12222222222222222
laplace,16.0,64,0.120517578125
laplace,16.0,65,0.1181201923076923
laplace,16.0,66,0.11740767045454545
laplace,16.0,67,0.11544542910447761
laplace,16.0,68,0.11384191176470589
laplace,16.0,69,0.1131544384057971
laplace,16.0,70,0.11103348214285715
laplace,16.0,71,0.10959507042253522
laplace,32.0,1,1.0
laplace,32.0,2,0.92703125
laplace,32.0,3,0.8805729166666667
laplace,32.0,4,0.82609375
laplace,32.0,5,0.778875
laplace,32.0,6,0.747890625
laplace,32.0,7,0.7038169642857143
laplace,32.0,8,0.67205078125
laplace,32.0,9,0.6486458333333334
laplace,32.0,10,0.620828125
laplace,32.0,11,0.6021448863636364
laplace,32.0,12,0.5774869791666667
laplace,32.0,13,0.5552163461538462
laplace,32.0,14,0.5348660714285715
laplace,32.0,15,0.5192708333333333
laplace,32.0,16,0.502880859375
laplace,32.0,17,0.48959558823529414
laplace,32.0,18,0.473203125
laplace,32.0,19,0.4586595394736842
laplace,32.0,20,0.447921875
laplace,32.0,21,0.4337797619047619
laplace,32.0,22,0.4203053977272727
laplace,32.0,23,0.40866168478260867
laplace,32.0,24,0.39819010416666667
laplace,32.0,25,0.3914125
laplace,32.0,26,0.3808112980769231
laplace,32.0,27,0.37138310185185186
laplace,32.0,28,0.3645591517857143
laplace,32.0,29,0.3538146551724138
laplace,32.0,30,0.34970833333333334
laplace,32.0,31,0.34084677419354836
laplace,32.0,32,0.3332958984375
laplace,32.0,33,0.3278219696969697
laplace,32.0,34,0.31933363970588236
laplace,32.0,35,0.31341071428571426
laplace,32.0,36,0.30878038194444446
laplace,32.0,37,0.3032981418918919
laplace,32.0,38,0.2962458881578947
laplace,32.0,39,0.29216746794871795
laplace,32.0,40,0.28575390625
laplace,32.0,41,0.28052591463414633
laplace,32.0,42,0.2765327380952381
laplace,32.0,43,0.2716170058139535
laplace,32.0,44,0.26631747159090907
laplace,32.0,45,0.2624201388888889
laplace,32.0,46,0.2597180706521739
laplace,32.0,47,0.25454787234042553
laplace,32.0,48,0.250673828125
laplace,32.0,49,0.24787627551020408
laplace,32.0,50,0.242490625
laplace,32.0,51,0.23846507352941176
laplace,32.0,52,0.23529146634615383
laplace,32.0,53,0.23355247641509433
laplace,32.0,54,0.22824363425925925
laplace,32.0,55,0.2262215909090909
laplace,32.0,56,0.2212779017857143
laplace,32.0,57,0.21904879385964912
laplace,32.0,58,0.21643049568965517
laplace,32.0,59,0.21283633474576272
laplace,32.0,60,0.21023177083333333
laplace,32.0,61,0.20822745901639345
laplace,32.0,62,0.2060710685483871
laplace,32.0,63,0.20252728174603174
laplace,32.0,64,0.20125
laplace,32.0,65,0.19703125
laplace,32.0,66,0.19641335227272727
laplace,32.0,67,0.19265391791044775
laplace,32.0,68,0.1898345588235294
laplace,32.0,69,0.1883990036231884
laplace,32.0,70,0.18720089285714286
laplace,32.0,71,0.1847557218309859
laplace,64.0,1,1.0
laplace,64.0,2,0.964921875
laplace,64.0,3,0.9338541666666667
laplace,64.0,4,0.8941015625
laplace,64.0,5,0.87321875
laplace,64.0,6,0.8415104166666667
laplace,64.0,7,0.8158705357142857
laplace,64.0,8,0.79359375
laplace,64.0,9,0.7711979166666667
laplace,64.0,10,0.75671875
laplace,64.0,11,0.7295880681818182
laplace,64.0,12,0.7200911458333333
laplace,64.0,13,0.6937980769230769
laplace,64.0,14,0.684140625
laplace,64.0,15,0.6640833333333334
laplace,64.0,16,0.650185546875
laplace,64.0,17,0.6353125
laplace,64.0,18,0.6225434027777778
laplace,64.0,19,0.6059786184210526
laplace,64.0,20,0.5901875
laplace,64.0,21,0.58390625
laplace,64.0,22,0.57125
laplace,64.0,23,0.5609035326086956
laplace,64.0,24,0.5473958333333333
laplace,64.0,25,0.538125
laplace,64.0,26,0.5281911057692308
laplace,64.0,27,0.51640625
laplace,64.0,28,0.5104408482142857
laplace,64.0,29,0.49930495689655174
laplace,64.0,30,0.49473958333333334
laplace,64.0,31,0.48364415322580645
laplace,64.0,32,0.476337890625
laplace,64.0,33,0.4688589015151515
laplace,64.0,34,0.46065257352941175
laplace,64.0,35,0.4551875
laplace,64.0,36,0.4475998263888889
laplace,64.0,37,0.44022804054054054
laplace,64.0,38,0.43453125
laplace,64.0,39,0.4292387820512821
laplace,64.0,40,0.42390234375
laplace,64.0,41,0.41733993902439026
laplace,64.0,42,0.41119791666666666
laplace,64.0,43,0.4048764534883721
laplace,64.0,44,0.3989133522727273
laplace,64.0,45,0.3939270833333333
laplace,64.0,46,0.3897724184782609
laplace,64.0,47,0.3824035904255319
laplace,64.0,48,0.379501953125
laplace,64.0,49,0.3736607142857143
laplace,64.0,50,0.3702
laplace,64.0,51,0.36552083333333335
laplace,64.0,52,0.36072716346153844
laplace,64.0,53,0.3545695754716981
laplace,64.0,54,0.3523611111111111
laplace,64.0,55,0.34607954545454545
laplace,64.0,56,0.3440011160714286
laplace,64.0,57,0.3390515350877193
laplace,64.0,58,0.3350969827586207
laplace,64.0,59,0.3330402542372881
laplace,64.0,60,0.32793489583333335
laplace,64.0,61,0.3253406762295082
laplace,64.0,62,0.32113407258064514
laplace,64.0,63,0.3170114087301587
laplace,64.0,64,0.31560791015625
laplace,64.0,65,0.31056009615384617
laplace,64.0,66,0.3084422348484849
laplace,64.0,67,0.30445195895522387
laplace,64.0,68,0.3014889705882353
laplace,64.0,69,0.299356884057971
laplace,64.0,70,0.29623883928571426
laplace,64.0,71,0.29236575704225354
laplace,inf,1,1.0
laplace,inf,2,0.997265625
laplace,inf,3,0.9978125
laplace,inf,4,0.9951953125
laplace,inf,5,0.99384375
laplace,inf,6,0.9922916666666667
laplace,inf,7,0.9897991071428571
laplace,inf,8,0.9907421875
laplace,inf,9,0.98546875
laplace,inf,10,0.9828125
laplace,inf,11,0.9826136363636364
