mechanism,eps,n_users,max_recall
laplace,1.0,1,1.0
laplace,1.0,2,0.6015037593984962
laplace,1.0,3,0.5121951219512195
laplace,1.0,4,0.31758530183727035
laplace,1.0,5,0.3016759776536313
laplace,1.0,6,0.2391304347826087
laplace,1.0,7,0.189873417721519
laplace,1.0,8,0.1617161716171617
laplace,1.0,9,0.14855072463768115
laplace,1.0,10,0.13562386980108498
laplace,1.0,11,0.13178294573643412
laplace,1.0,12,0.11081794195250659
laplace,1.0,13,0.1053082191780822
laplace,1.0,14,0.09550173010380623
laplace,1.0,15,0.10176531671858775
laplace,1.0,16,0.08949096880131363
laplace,1.0,17,0.08119361554476058
laplace,1.0,18,0.0795539033457249
laplace,1.0,19,0.07449856733524356
laplace,1.0,20,0.06865861411315957
laplace,1.0,21,0.06652360515021459
laplace,1.0,22,0.06495263870094722
laplace,1.0,23,0.06077694235588972
laplace,1.0,24,0.05962732919254658
laplace,1.0,25,0.05665591893136803
laplace,1.0,26,0.05126760563380282
laplace,1.0,27,0.05370462456489309
laplace,1.0,28,0.05241605241605242
laplace,1.0,29,0.04914004914004914
laplace,1.0,30,0.04602660913340525
laplace,1.0,31,0.04479701353243117
laplace,1.0,32,0.04395604395604396
laplace,1.0,33,0.042738275340393345
laplace,1.0,34,0.04280417930569599
laplace,1.0,35,0.039582013932868906
laplace,1.0,36,0.03815527538155276
laplace,1.0,37,0.039396737457679284
laplace,1.0,38,0.035395189003436425
laplace,1.0,39,0.03397582489382555
laplace,1.0,40,0.03610223642172524
laplace,1.0,41,0.03445203445203445
laplace,1.0,42,0.03218618469918297
laplace,1.0,43,0.03197674418604651
laplace,1.0,44,0.030359028511087644
laplace,1.0,45,0.03169572107765452
laplace,1.0,46,0.030676605504587156
laplace,1.0,47,0.031419005923255215
laplace,1.0,48,0.03095558546433378
laplace,1.0,49,0.029342723004694836
laplace,1.0,50,0.027167399121054734
laplace,1.0,51,0.027896081771720614
laplace,1.0,52,0.026821742226441965
laplace,1.0,53,0.02789400278940028
laplace,1.0,54,0.02658385093167702
laplace,1.0,55,0.024796380090497738
laplace,1.0,56,0.025251528901163937
laplace,1.0,57,0.02375767174816868
laplace,1.0,58,0.025290498974709502
laplace,1.0,59,0.023935648420639593
laplace,1.0,60,0.02288911495422177
laplace,1.0,61,0.0230755030459664
laplace,1.0,62,0.02272310793476269
laplace,1.0,63,0.022143836958651773
laplace,1.0,64,0.021920465567410282
laplace,1.0,65,0.021425999279798342
laplace,1.0,66,0.02110773387369132
laplace,1.0,67,0.020541082164328657
laplace,1.0,68,0.02035844788585349
laplace,1.0,69,0.01976801176278386
laplace,1.0,70,0.021521035598705503
laplace,1.0,71,0.018626929217668974
laplace,2.0,1,1.0
laplace,2.0,2,0.6353790613718412
laplace,2.0,3,0.4607329842931937
laplace,2.0,4,0.3497536945812808
laplace,2.0,5,0.2955665024630542
laplace,2.0,6,0.2777777777777778
laplace,2.0,7,0.21428571428571427
laplace,2.0,8,0.18913676042677013
laplace,2.0,9,0.17857142857142858
laplace,2.0,10,0.16878402903811252
laplace,2.0,11,0.14620535714285715
laplace,2.0,12,0.12758620689655173
laplace,2.0,13,0.12415130940834142
laplace,2.0,14,0.11464968152866242
laplace,2.0,15,0.10714285714285714
laplace,2.0,16,0.09898107714701601
laplace,2.0,17,0.09680284191829484
laplace,2.0,18,0.08793456032719836
laplace,2.0,19,0.08610792192881746
laplace,2.0,20,0.08012820512820513
laplace,2.0,21,0.07413087934560328
laplace,2.0,22,0.07019278299555116
laplace,2.0,23,0.0661512027491409
laplace,2.0,24,0.07060825180774138
laplace,2.0,25,0.06869565217391305
laplace,2.0,26,0.06886075949367089
laplace,2.0,27,0.058358061325420374
laplace,2.0,28,0.05515370705244123
laplace,2.0,29,0.053203997648442095
laplace,2.0,30,0.0605831124574025
laplace,2.0,31,0.051924798567591766
laplace,2.0,32,0.04916763453348819
laplace,2.0,33,0.05235231694375663
laplace,2.0,34,0.05144247480013903
laplace,2.0,35,0.04872311827956989
laplace,2.0,36,0.04252958579881657
laplace,2.0,37,0.04562410329985653
laplace,2.0,38,0.040841206949100886
laplace,2.0,39,0.04120070629782225
laplace,2.0,40,0.04
laplace,2.0,41,0.040625
laplace,2.0,42,0.03697850821744627
laplace,2.0,43,0.0388011774150388
laplace,2.0,44,0.03761445186834942
laplace,2.0,45,0.0363026235509457
laplace,2.0,46,0.03726193762075628
laplace,2.0,47,0.03417533432392273
laplace,2.0,48,0.03489611081513053
laplace,2.0,49,0.0330126803672934
laplace,2.0,50,0.03345280764635603
laplace,2.0,51,0.03181427343078246
laplace,2.0,52,0.030628170113148653
laplace,2.0,53,0.031196581196581197
laplace,2.0,54,0.029192124915139173
laplace,2.0,55,0.03091832025842178
laplace,2.0,56,0.03014037985136251
laplace,2.0,57,0.02748189177673626
laplace,2.0,58,0.027947154471544715
laplace,2.0,59,0.028520814880425155
laplace,2.0,60,0.028249703674436983
laplace,2.0,61,0.026091888825865002
laplace,2.0,62,0.026563064691001084
laplace,2.0,63,0.028325358851674642
laplace,2.0,64,0.025636363636363638
laplace,2.0,65,0.02530717036493673
laplace,2.0,66,0.024674827850038255
laplace,2.0,67,0.024588802126599103
laplace,2.0,68,0.024555328191405636
laplace,2.0,69,0.0236096537250787
laplace,2.0,70,0.024374390640233994
laplace,2.0,71,0.022194435761175368
laplace,4.0,1,1.0
laplace,4.0,2,0.7692307692307693
laplace,4.0,3,0.5320197044334976
laplace,4.0,4,0.4555160142348754
laplace,4.0,5,0.37467018469656993
laplace,4.0,6,0.32062780269058294
laplace,4.0,7,0.32
laplace,4.0,8,0.24623803009575923
laplace,4.0,9,0.2158859470468432
laplace,4.0,10,0.21428571428571427
laplace,4.0,11,0.1949579831932773
laplace,4.0,12,0.17664092664092665
laplace,4.0,13,0.15308151093439365
laplace,4.0,14,0.13818860877684408
laplace,4.0,15,0.13984168865435356
laplace,4.0,16,0.13098039215686275
laplace,4.0,17,0.13122721749696234
laplace,4.0,18,0.1122257053291536
laplace,4.0,19,0.11003627569528417
laplace,4.0,20,0.10578034682080925
laplace,4.0,21,0.10013908205841446
laplace,4.0,22,0.10201429499675113
laplace,4.0,23,0.09301075268817205
laplace,4.0,24,0.09050445103857567
laplace,4.0,25,0.08771060455896927
laplace,4.0,26,0.08710954685437748
laplace,4.0,27,0.07706855791962175
laplace,4.0,28,0.07582769668921324
laplace,4.0,29,0.07255520504731862
laplace,4.0,30,0.07442049613664091
laplace,4.0,31,0.06775510204081632
laplace,4.0,32,0.07301704966641957
laplace,4.0,33,0.06685941452837008
laplace,4.0,34,0.06993006993006994
laplace,4.0,35,0.06315422191207258
laplace,4.0,36,0.05921469284357188
laplace,4.0,37,0.059065934065934064
laplace,4.0,38,0.05633333333333333
laplace,4.0,39,0.05628350208457415
laplace,4.0,40,0.05573453608247423
