attribute,mechanism,eps,n_users,mean,rmse,nrmse
steps,laplace,1,1,0.17569287779572143,0.5338009353222263,0.5338009353222263
steps,laplace,1,2,0.44034426881118094,0.8015432568057304,0.5142775852397236
steps,laplace,1,3,0.6390661885137938,0.9971687532383541,0.46434427348932683
steps,laplace,1,4,0.8492807753354492,1.2291855001071015,0.47507813880489147
steps,laplace,1,5,1.0277132197835068,1.4661334593390707,0.44088000679860767
steps,laplace,1,6,0.9675945637621354,1.496114942151627,0.40986307042889925
steps,laplace,1,7,1.314659581621082,1.7600517449752808,0.4237177092312
steps,laplace,1,8,1.8578208055157568,2.2323945246899886,0.5072580127378586
steps,laplace,1,9,1.8619429036011603,2.2921503865609014,0.502829707980773
steps,laplace,1,10,1.7070324504430512,2.2020297170097676,0.4458268812603964
steps,laplace,1,11,1.993264592919466,2.528169337346422,0.4537156936299412
steps,laplace,1,12,2.5507896993738877,3.0362045650568983,0.528741655840911
steps,laplace,1,13,2.3731369989541404,2.886453695499571,0.469185603753617
steps,laplace,1,14,2.7209826140179483,3.1853740764391807,0.49584331173844476
steps,laplace,1,15,2.9610289967838925,3.440570417340396,0.5614231021229038
steps,laplace,1,16,2.893627022130489,3.367884059400332,0.46194124018082877
steps,laplace,1,17,2.999907959233505,3.5793437839497413,0.46626969990355677
steps,laplace,1,18,3.6294821103240253,4.147691572806801,0.47529976434246335
steps,laplace,1,19,3.5885982356378876,4.173299276770718,0.4946755498094446
steps,laplace,1,20,3.269727698182213,3.8492412248101866,0.4359793999779769
steps,laplace,1,21,3.906008132499602,4.457622594442197,0.5056644892934472
steps,laplace,1,22,4.0521397060980835,4.560751714442927,0.5383486713896557
steps,laplace,1,23,4.303600244859255,4.90824354074102,0.5088976145878503
steps,laplace,1,24,4.092370205624194,4.750401916536356,0.43478178051478966
steps,laplace,1,25,4.613649464375825,5.138161736141617,0.486829139796621
steps,laplace,1,26,4.990562439095962,5.559043878057559,0.5294211561088389
steps,laplace,1,27,4.960956056885645,5.571698977001018,0.5066935621058489
steps,laplace,1,28,4.927016864139902,5.55585905761847,0.4883941488045161
steps,laplace,1,29,5.156916510916271,5.7720009394284,0.5003602955450288
steps,laplace,1,30,5.565227219232512,6.170387186715742,0.5872771335090328
steps,laplace,1,31,5.230580928564801,5.907746326234157,0.490112783543171
steps,laplace,1,32,5.239035499227588,5.913409396491227,0.5379576724586002
steps,laplace,1,33,5.6290602966544805,6.333502433859167,0.5260873462067779
steps,laplace,1,34,6.297012346523006,6.879801202378715,0.5719558451026339
steps,laplace,1,35,6.50026178531626,7.100627354065102,0.5644289843412928
steps,laplace,1,36,6.274554780574256,6.927713635634921,0.5850440640397271
steps,laplace,1,37,6.344172913936186,7.018089233445989,0.4801580383477133
steps,laplace,1,38,7.193395284696463,7.809009998824766,0.5996439224637289
steps,laplace,1,39,7.3263006675398845,7.943584223652579,0.5970744779121258
steps,laplace,1,40,7.06579142641507,7.712363794951005,0.5705863605061119
steps,laplace,1,41,7.745486215784725,8.399769103381988,0.5672622257601458
steps,laplace,1,42,7.534575498523475,8.126545915970125,0.5755234633888878
steps,laplace,1,43,8.428093716802953,9.095387776280049,0.557904598560991
steps,laplace,1,44,7.977924004928354,8.627674271846411,0.5438228492234559
steps,laplace,1,45,8.098460893117075,8.742083503907201,0.5773057590814941
steps,laplace,1,46,7.988984002349956,8.641457220693933,0.5472957151195817
steps,laplace,1,47,8.557046128489445,9.2573908948496,0.5791753267823792
steps,laplace,1,48,8.678268914707175,9.318608386667538,0.5990848155715488
steps,laplace,1,49,9.11146052249887,9.849126038685531,0.5967333301468721
steps,laplace,1,50,9.185268855282535,9.94400794303399,0.5929308331725558
steps,laplace,1,51,9.298251645475869,9.980331816023725,0.5678721865397565
steps,laplace,1,52,9.827214728744458,10.498629618219812,0.6105222892635237
steps,laplace,1,53,9.624498690728375,10.32170887502755,0.5671855248861208
steps,laplace,1,54,10.247284489721931,10.923176282023665,0.6093346037415615
steps,laplace,1,55,9.995042381267208,10.747690051004763,0.6218260622915542
steps,laplace,1,56,10.100150105444612,10.832211334218723,0.6009395141193524
steps,laplace,1,57,10.196012624170887,10.948578801871388,0.5997116085728064
steps,laplace,1,58,10.473357164647243,11.209430927771615,0.5950422989463683
steps,laplace,1,59,10.70579906107712,11.39879563805555,0.6234353339377581
steps,laplace,1,60,11.298170116280957,11.961938640434088,0.6002046549362519
steps,laplace,1,61,11.018606617407656,11.763767568682763,0.5828629048270006
steps,laplace,1,62,11.047433559968155,11.769580225392312,0.6058285098214717
steps,laplace,1,63,11.551619847802408,12.300741265486563,0.593634365492192
steps,laplace,1,64,11.845545157046367,12.615223107102896,0.5907182632496474
steps,laplace,1,65,11.578280248184019,12.388169843211758,0.58806575159649
steps,laplace,1,66,12.045876049008081,12.771309819820498,0.5937052713095903
steps,laplace,1,67,12.290948458488062,13.004139350652675,0.6088748885931368
steps,laplace,1,68,12.717477457460088,13.46027996139723,0.6126863249864688
steps,laplace,1,69,12.766144935702687,13.57732378412815,0.6037193222924019
steps,laplace,1,70,12.856751998864747,13.603207254965927,0.6047824600302094
steps,laplace,1,71,12.871687345585235,13.656386185643266,0.5937559211149246
steps,laplace,2,1,0.06428473092979997,0.4657903980050052,0.4657903980050052
steps,laplace,2,2,0.1550371001212722,0.6144837327101774,0.3395464743442041
steps,laplace,2,3,0.37231898597779967,0.8330945856470237,0.38756156991254
steps,laplace,2,4,0.5838238168289298,1.0195380813395336,0.371817812817634
steps,laplace,2,5,0.7787587558959759,1.2319103297572291,0.39020046457612273
steps,laplace,2,6,0.9092396467063845,1.4028976020667603,0.36619897190925577
steps,laplace,2,7,0.9544567577261655,1.4925062815260015,0.3657871568636699
steps,laplace,2,8,1.1840751668425225,1.7052156642378509,0.3909867817106993
steps,laplace,2,9,1.2453233724790742,1.79014307647645,0.36182402468934893
steps,laplace,2,10,1.569847644726779,2.08864127416535,0.3554872967890819
steps,laplace,2,11,1.7651123246449292,2.221952543942172,0.38755689927276815
steps,laplace,2,12,1.8178796352577495,2.3357739249017655,0.382517157052483
steps,laplace,2,13,2.0247007269190287,2.582363424666942,0.4196120297943965
steps,laplace,2,14,1.9892801403189462,2.499089665204149,0.35115174856419273
steps,laplace,2,15,1.8602939348905054,2.54174011512419,0.3727268297355481
steps,laplace,2,16,2.0905560929969127,2.738073304886167,0.3774035971072429
steps,laplace,2,17,2.569164412783887,3.121989042243154,0.4273655436757033
steps,laplace,2,18,2.462787811175033,3.0776287903893027,0.3546569844677352
steps,laplace,2,19,2.7034832020843234,3.265508380037086,0.4030238969361374
steps,laplace,2,20,2.8197576285243446,3.473869942054545,0.39826385070151094
steps,laplace,2,21,3.1323812213608884,3.7315595252267038,0.41228295423228384
steps,laplace,2,22,3.3518685252231877,3.9158994737524373,0.40569240965405007
steps,laplace,2,23,3.449118001655884,4.075414073269028,0.3898664024854234
steps,laplace,2,24,3.24788129272658,3.8572090801999663,0.3954333143749002
steps,laplace,2,25,3.3381861549669978,3.976624688363156,0.37431398355880746
steps,laplace,2,26,3.61840083701332,4.280466080262876,0.3770455929792832
steps,laplace,2,27,3.8993491104809466,4.546874335528764,0.4274657637970171
steps,laplace,2,28,4.111964099669295,4.697930539184945,0.4447359963747807
steps,laplace,2,29,4.478224633611823,5.048972330511043,0.45188906950471275
steps,laplace,2,30,4.594605633703247,5.1870201827684586,0.4630320845604693
steps,laplace,2,31,4.621457467872042,5.215784169134774,0.46284173140335483
steps,laplace,2,32,4.646407199083148,5.310059041639702,0.4447905434470787
steps,laplace,2,33,5.012712325568811,5.575625063944122,0.49383321447898076
steps,laplace,2,34,4.878797268975319,5.509506285276438,0.4410529466548555
steps,laplace,2,35,5.091403024225464,5.708455280542833,0.42918912382323304
steps,laplace,2,36,5.307281458196447,5.975899197692259,0.44619640616827017
steps,laplace,2,37,5.792412116449594,6.427683816636754,0.4979158341722849
steps,laplace,2,38,5.4993628463668305,6.163009850162047,0.45908625269250425
steps,laplace,2,39,5.781058585025838,6.403762622765863,0.4702006580207338
steps,laplace,2,40,5.770084305039425,6.446508168575102,0.44347540381199985
steps,laplace,2,41,6.5617105061965075,7.183569228570734,0.5385199141181738
steps,laplace,2,42,6.72547556948061,7.385119628067419,0.4713257642714913
steps,laplace,2,43,6.312116329150991,7.005690099674534,0.46018498931145946
steps,laplace,2,44,6.462070339026337,7.093593755614667,0.4820830807158109
steps,laplace,2,45,6.505971985626874,7.153083334169291,0.46550295030602484
steps,laplace,2,46,7.077961546326525,7.715948232602204,0.4995387980364515
steps,laplace,2,47,6.6001922378372,7.290320912433396,0.4950550133414297
steps,laplace,2,48,7.15145139722155,7.859770140060869,0.46041212863214803
steps,laplace,2,49,7.485586921765128,8.165849990443055,0.5041751942984621
steps,laplace,2,50,7.468447216360689,8.142988481004974,0.507445321798795
steps,laplace,2,51,8.21105622459868,8.834872551023413,0.49550422644674397
steps,laplace,2,52,7.812441159901718,8.512873560989778,0.5170776445102249
steps,laplace,2,53,7.906530692097908,8.591596291490681,0.500220519459042
steps,laplace,2,54,8.098018843723175,8.778264790496511,0.4897610113739043
steps,laplace,2,55,7.757686346906098,8.474981369445414,0.46357375473392903
steps,laplace,2,56,8.204750358849918,8.887381523594737,0.4862822734999265
steps,laplace,2,57,8.471828577451417,9.164620366368263,0.4852503998145849
steps,laplace,2,58,8.626604303788964,9.302404034401231,0.5129901604750942
steps,laplace,2,59,8.837355478666776,9.548383350458437,0.49516098623402954
steps,laplace,2,60,8.916807299209486,9.635278698177732,0.48951279146556714
steps,laplace,2,61,9.001132867561665,9.711144729552805,0.4920109666395942
steps,laplace,2,62,9.117545401391407,9.883271634828004,0.49089460794777845
steps,laplace,2,63,9.595701925185534,10.339404883570309,0.5063196370213515
steps,laplace,2,64,9.278033650691238,10.027389303742194,0.47770785240518654
steps,laplace,2,65,9.432398123948495,10.155636230728195,0.48911322488688
